ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
13806036,JJ218448,04/14/2025 12:00:00 PM,018XX S TROY ST,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,APARTMENT,FALSE,TRUE,1022,10,24,29,20,1155651,1890785,2025,04/22/2025 03:41:56 PM,41.85611128,-87.70416531,"(41.856111284, -87.704165305)"
13806910,JJ219197,04/14/2025 12:00:00 PM,013XX W TOUHY AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,2423,24,49,1,08B,1166018,1947969,2025,04/22/2025 03:41:56 PM,42.01281245,-87.66447567,"(42.012812446, -87.664475673)"
13808461,JJ221460,04/14/2025 12:00:00 PM,012XX W VAN BUREN ST,3960,INTIMIDATION,INTIMIDATION,APARTMENT,FALSE,FALSE,1231,12,34,28,08A,1168099,1898309,2025,04/22/2025 03:41:56 PM,41.87649837,-87.65825775,"(41.876498368, -87.658257752)"
13806903,JJ219193,04/14/2025 12:00:00 PM,014XX E 65TH PL,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,321,3,5,42,6,1186914,1861857,2025,04/22/2025 03:41:56 PM,41.77604502,-87.59033373,"(41.776045024, -87.590333733)"
13805586,JJ218044,04/14/2025 12:00:00 PM,048XX N KENNETH AVE,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,RESIDENCE,FALSE,FALSE,1712,17,39,14,11,1145817,1932015,2025,04/22/2025 03:41:56 PM,41.9694427,-87.7392131,"(41.969442698, -87.739213104)"
13805537,JJ217782,04/14/2025 12:00:00 PM,032XX E 91ST ST,890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,FALSE,FALSE,424,4,10,46,6,1199103,1845234,2025,04/22/2025 03:41:56 PM,41.73013272,-87.54620831,"(41.730132724, -87.546208313)"
13805475,JJ217780,04/14/2025 11:57:00 AM,017XX N KEELER AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,FALSE,FALSE,2534,25,26,20,26,1148116,1911245,2025,04/22/2025 03:41:56 PM,41.912404,-87.73129595,"(41.912403999, -87.731295953)"
13805498,JJ217815,04/14/2025 11:54:00 AM,038XX N CICERO AVE,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,SIDEWALK,TRUE,FALSE,1634,16,45,15,11,1143678,1925280,2025,04/22/2025 03:41:56 PM,41.95100173,-87.7472477,"(41.951001729, -87.747247696)"
13805415,JJ217693,04/14/2025 11:53:00 AM,021XX N MOODY AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,2512,25,36,19,08A,1135064,1913429,2025,04/22/2025 03:41:56 PM,41.91863855,-87.7791944,"(41.918638547, -87.779194399)"
13805397,JJ217656,04/14/2025 11:46:00 AM,023XX S PULASKI RD,312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,FALSE,FALSE,1013,10,22,29,3,1150084,1887933,2025,04/22/2025 03:41:56 PM,41.84839516,-87.72467337,"(41.848395163, -87.724673369)"
